age,workclass,education-num,marital-status,relationship,race,sex,hours-per-week,income
23,State-gov,9,Never-married,Own-child,White,Male,40,0
39,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,40,1
38,Private,9,Married-civ-spouse,Husband,White,Male,40,0
28,Private,8,Divorced,Not-in-family,White,Female,40,0
34,Private,9,Never-married,Not-in-family,White,Female,40,0
47,Private,7,Divorced,Own-child,White,Male,8,0
41,Private,13,Married-civ-spouse,Husband,White,Male,40,1
25,Private,13,Never-married,Not-in-family,White,Male,40,0
53,Private,2,Married-civ-spouse,Husband,Black,Male,35,0
43,Private,9,Married-civ-spouse,Wife,White,Female,50,1
33,Federal-gov,10,Never-married,Own-child,Asian-Pac-Islander,Female,40,0
45,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,50,1
59,Private,10,Married-civ-spouse,Husband,White,Male,40,1
39,Private,10,Separated,Unmarried,White,Female,40,0
49,Federal-gov,12,Married-civ-spouse,Husband,White,Male,60,1
39,Local-gov,9,Divorced,Not-in-family,White,Male,40,1
64,Self-emp-not-inc,15,Married-civ-spouse,Husband,White,Male,40,1
25,Private,9,Never-married,Own-child,White,Male,40,0
49,Local-gov,14,Separated,Unmarried,White,Female,70,0
37,Private,9,Married-civ-spouse,Wife,White,Female,60,0
46,Local-gov,13,Divorced,Not-in-family,White,Female,25,1
59,Private,9,Divorced,Not-in-family,White,Female,40,0
37,Private,9,Never-married,Not-in-family,White,Female,40,0
25,Private,13,Married-civ-spouse,Husband,White,Male,60,1
29,Private,13,Never-married,Not-in-family,White,Female,45,0
61,Private,9,Divorced,Not-in-family,Black,Female,40,0
47,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,55,0
32,Private,13,Married-civ-spouse,Husband,White,Male,48,1
33,Private,9,Married-civ-spouse,Husband,White,Male,45,1
65,Self-emp-not-inc,10,Widowed,Unmarried,White,Female,45,0
40,Private,10,Married-civ-spouse,Wife,White,Female,40,0
24,Private,9,Never-married,Not-in-family,White,Male,48,0
21,Private,9,Never-married,Unmarried,White,Female,40,0
29,Self-emp-inc,10,Never-married,Not-in-family,White,Male,60,0
43,Private,10,Married-civ-spouse,Husband,White,Male,40,1
46,Local-gov,9,Married-civ-spouse,Husband,Black,Male,40,0
21,Private,9,Never-married,Own-child,Amer-Indian-Eskimo,Male,40,0
39,Private,9,Married-civ-spouse,Husband,White,Male,60,1
59,Private,9,Divorced,Not-in-family,Black,Male,40,0
46,Private,9,Divorced,Not-in-family,White,Male,48,1
47,Private,15,Divorced,Not-in-family,White,Male,40,0
27,State-gov,9,Never-married,Not-in-family,Amer-Indian-Eskimo,Male,38,1
29,Federal-gov,10,Married-spouse-absent,Own-child,White,Female,40,0
63,Self-emp-not-inc,11,Married-civ-spouse,Husband,White,Male,40,0
28,Private,13,Never-married,Own-child,White,Male,40,0
31,Private,12,Divorced,Not-in-family,White,Female,32,0
29,Private,9,Never-married,Not-in-family,White,Male,40,0
21,Private,9,Never-married,Own-child,White,Male,24,0
37,Self-emp-not-inc,12,Married-civ-spouse,Husband,White,Male,50,0
35,Private,9,Married-civ-spouse,Husband,White,Male,50,0
47,Federal-gov,9,Separated,Unmarried,White,Female,40,0
46,Private,14,Divorced,Not-in-family,White,Female,45,0
37,Private,13,Married-civ-spouse,Husband,White,Male,50,1
43,Private,10,Married-civ-spouse,Husband,White,Male,40,0
23,Private,9,Never-married,Other-relative,Black,Male,40,0
35,Self-emp-not-inc,10,Never-married,Own-child,White,Male,40,0
34,Local-gov,14,Divorced,Not-in-family,White,Female,50,0
55,Private,11,Married-civ-spouse,Wife,White,Female,20,0
37,Self-emp-inc,12,Married-civ-spouse,Husband,White,Male,68,0
59,Private,5,Married-civ-spouse,Husband,White,Male,40,0
49,State-gov,11,Divorced,Not-in-family,Black,Female,44,0
36,Private,13,Married-civ-spouse,Wife,White,Female,32,1
61,Private,5,Married-civ-spouse,Husband,White,Male,40,0
44,Private,14,Married-civ-spouse,Husband,White,Male,38,1
46,Private,10,Separated,Not-in-family,White,Male,42,0
30,Private,9,Never-married,Own-child,White,Female,30,0
37,Private,9,Married-civ-spouse,Husband,White,Male,40,0
37,Private,10,Married-civ-spouse,Husband,White,Male,40,1
29,Private,13,Never-married,Not-in-family,Asian-Pac-Islander,Female,40,0
29,Private,16,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,60,0
48,Private,6,Separated,Own-child,White,Female,48,0
56,Private,9,Widowed,Not-in-family,White,Female,40,0
24,Private,10,Never-married,Not-in-family,White,Female,24,0
48,Private,9,Married-civ-spouse,Husband,White,Male,40,0
33,Self-emp-not-inc,10,Married-civ-spouse,Husband,White,Male,50,0
23,Private,10,Never-married,Own-child,White,Male,50,0
38,Private,10,Divorced,Unmarried,Other,Female,40,0
46,Private,9,Married-spouse-absent,Not-in-family,White,Female,40,0
59,Private,13,Separated,Unmarried,White,Male,60,0
43,Self-emp-not-inc,9,Married-civ-spouse,Wife,White,Female,20,1
38,Private,7,Married-civ-spouse,Husband,White,Male,40,1
28,Private,9,Married-civ-spouse,Husband,White,Male,50,0
19,Private,10,Never-married,Own-child,White,Female,15,0
22,Private,9,Never-married,Not-in-family,White,Male,45,0
45,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,40,1
25,Private,7,Married-civ-spouse,Husband,White,Male,40,0
20,Private,10,Never-married,Own-child,White,Female,20,0
48,Private,2,Married-civ-spouse,Husband,White,Male,40,0
21,Private,10,Never-married,Not-in-family,White,Female,20,0
32,Private,9,Separated,Unmarried,Black,Male,40,0
59,Private,9,Married-civ-spouse,Husband,White,Male,55,0
43,State-gov,10,Divorced,Other-relative,White,Female,40,0
49,Self-emp-not-inc,12,Divorced,Not-in-family,White,Male,50,0
59,Self-emp-not-inc,4,Married-civ-spouse,Husband,White,Male,40,0
42,Private,12,Married-civ-spouse,Husband,White,Male,50,1
20,Private,10,Never-married,Own-child,White,Female,30,0
26,Private,13,Never-married,Not-in-family,White,Male,40,0
36,Private,10,Never-married,Not-in-family,White,Female,40,0
62,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,65,0
40,Private,12,Married-civ-spouse,Husband,White,Male,52,0
40,Federal-gov,10,Married-civ-spouse,Husband,White,Male,40,0
35,Private,10,Married-civ-spouse,Husband,White,Male,38,1
26,Private,9,Married-civ-spouse,Husband,White,Male,40,0
30,Private,10,Married-civ-spouse,Husband,White,Male,40,1
35,Private,9,Married-civ-spouse,Husband,White,Male,40,0
90,Local-gov,9,Married-civ-spouse,Husband,White,Male,40,0
22,Private,9,Never-married,Not-in-family,White,Male,50,0
28,Private,14,Married-spouse-absent,Not-in-family,White,Female,80,1
62,Private,10,Never-married,Not-in-family,White,Female,39,1
41,State-gov,14,Never-married,Not-in-family,White,Male,40,0
17,Private,7,Never-married,Own-child,White,Female,20,0
32,Private,9,Married-spouse-absent,Other-relative,White,Male,40,0
25,Private,12,Divorced,Unmarried,White,Female,40,0
28,Self-emp-not-inc,8,Divorced,Unmarried,White,Female,30,0
24,Private,7,Never-married,Not-in-family,White,Female,40,0
50,Local-gov,9,Married-civ-spouse,Husband,Black,Male,40,0
48,State-gov,9,Married-civ-spouse,Husband,White,Male,40,0
19,Private,9,Never-married,Own-child,White,Female,25,0
53,State-gov,14,Married-civ-spouse,Husband,White,Male,42,1
39,Private,9,Never-married,Own-child,White,Male,12,0
23,Private,9,Divorced,Not-in-family,White,Male,40,0
27,Private,10,Married-civ-spouse,Husband,White,Male,40,0
60,Private,12,Married-civ-spouse,Husband,White,Male,24,0
41,Private,9,Never-married,Not-in-family,White,Female,50,0
29,Private,9,Separated,Unmarried,White,Female,40,0
23,Private,6,Never-married,Not-in-family,White,Male,40,0
35,Private,11,Married-civ-spouse,Husband,Black,Male,38,0
37,Private,14,Never-married,Unmarried,Asian-Pac-Islander,Male,40,0
45,Private,10,Married-civ-spouse,Husband,White,Male,40,1
43,State-gov,9,Married-spouse-absent,Unmarried,White,Female,40,0
32,Private,6,Never-married,Own-child,White,Male,40,0
67,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,40,0
34,Private,10,Married-civ-spouse,Husband,White,Male,40,0
43,Private,13,Married-civ-spouse,Husband,White,Male,50,1
42,Private,12,Divorced,Not-in-family,White,Male,40,0
30,Private,10,Married-civ-spouse,Other-relative,White,Male,40,0
43,Local-gov,10,Separated,Not-in-family,Black,Male,40,0
43,State-gov,9,Married-civ-spouse,Husband,White,Male,40,0
29,Self-emp-not-inc,9,Married-spouse-absent,Other-relative,Asian-Pac-Islander,Male,50,1
43,Private,13,Married-civ-spouse,Husband,White,Male,24,1
44,Private,9,Married-civ-spouse,Husband,White,Male,40,0
38,Private,13,Never-married,Other-relative,White,Female,45,0
28,Private,9,Never-married,Not-in-family,White,Male,40,0
26,Private,9,Never-married,Own-child,Black,Female,40,0
45,Self-emp-not-inc,10,Married-civ-spouse,Wife,White,Female,99,0
47,Local-gov,12,Married-civ-spouse,Husband,White,Male,40,1
32,Federal-gov,10,Divorced,Unmarried,White,Female,40,0
19,Private,9,Never-married,Own-child,White,Female,12,0
41,Local-gov,1,Never-married,Own-child,White,Female,30,0
57,Private,10,Never-married,Not-in-family,White,Male,42,0
54,State-gov,9,Widowed,Not-in-family,White,Female,40,0
37,Private,9,Married-civ-spouse,Husband,White,Male,46,0
27,Private,9,Never-married,Own-child,White,Male,40,0
37,Local-gov,9,Married-civ-spouse,Husband,White,Male,40,0
23,Private,10,Married-civ-spouse,Husband,White,Male,40,0
53,Private,9,Divorced,Unmarried,Black,Male,32,0
55,Self-emp-not-inc,5,Married-civ-spouse,Husband,White,Male,25,0
46,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,40,0
33,Private,9,Never-married,Own-child,White,Male,35,0
23,Private,9,Never-married,Own-child,White,Male,40,0
75,Private,6,Widowed,Not-in-family,White,Female,70,0
30,Private,11,Never-married,Not-in-family,Black,Male,40,0
54,Self-emp-not-inc,13,Married-civ-spouse,Wife,White,Female,35,1
48,Private,9,Divorced,Not-in-family,White,Male,40,0
52,Private,9,Married-civ-spouse,Husband,White,Male,85,1
23,Private,13,Never-married,Own-child,Black,Female,30,0
51,Private,10,Divorced,Not-in-family,White,Female,40,0
32,Private,9,Never-married,Not-in-family,White,Male,60,0
17,Private,6,Never-married,Own-child,White,Male,20,0
23,Private,9,Married-civ-spouse,Husband,White,Male,45,0
49,Private,10,Divorced,Not-in-family,White,Male,45,1
40,Private,4,Divorced,Unmarried,White,Female,40,0
35,Private,9,Never-married,Own-child,White,Female,40,0
32,Self-emp-not-inc,9,Separated,Not-in-family,White,Male,50,0
55,Private,7,Widowed,Unmarried,White,Female,40,0
22,Private,10,Never-married,Own-child,White,Female,20,0
37,Private,13,Married-civ-spouse,Husband,White,Male,50,1
34,State-gov,13,Married-civ-spouse,Husband,White,Male,55,0
39,Private,14,Married-civ-spouse,Husband,White,Male,50,1
27,Private,3,Married-civ-spouse,Husband,White,Male,45,0
29,Private,9,Never-married,Not-in-family,White,Male,40,0
37,Self-emp-not-inc,7,Married-civ-spouse,Husband,White,Male,40,0
56,Local-gov,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,0
56,Private,13,Married-civ-spouse,Husband,White,Male,45,1
46,Private,10,Never-married,Own-child,White,Female,40,0
37,Private,9,Separated,Own-child,White,Male,40,0
59,Private,9,Married-civ-spouse,Husband,White,Male,40,0
53,State-gov,9,Married-civ-spouse,Wife,White,Female,40,1
45,Private,13,Married-civ-spouse,Husband,White,Male,45,1
27,Private,9,Never-married,Not-in-family,White,Female,40,0
43,Self-emp-not-inc,10,Married-civ-spouse,Husband,White,Male,84,0
42,Private,9,Divorced,Unmarried,White,Male,40,0
34,Private,6,Divorced,Unmarried,White,Female,38,0
37,Private,9,Never-married,Unmarried,White,Male,40,0
22,Private,13,Never-married,Own-child,White,Female,60,0
38,Private,9,Married-civ-spouse,Husband,White,Male,30,0
17,Private,5,Never-married,Own-child,White,Male,24,0
32,Private,10,Married-civ-spouse,Husband,White,Male,40,0
23,Private,13,Never-married,Own-child,White,Female,20,0
49,Self-emp-not-inc,16,Married-civ-spouse,Wife,White,Female,35,1
20,Private,10,Never-married,Not-in-family,White,Female,10,0
44,Private,14,Married-civ-spouse,Wife,White,Female,45,0
36,Private,9,Separated,Not-in-family,Black,Female,36,0
28,Federal-gov,13,Never-married,Not-in-family,Black,Female,40,0
38,Private,10,Never-married,Not-in-family,White,Male,40,0
59,Private,9,Widowed,Not-in-family,White,Female,40,0
33,Private,11,Never-married,Not-in-family,White,Male,40,0
51,Local-gov,10,Widowed,Not-in-family,White,Female,40,0
46,Private,10,Never-married,Unmarried,White,Female,45,0
35,Private,9,Married-civ-spouse,Husband,White,Male,30,0
31,Private,13,Never-married,Not-in-family,White,Male,40,0
46,Private,14,Never-married,Not-in-family,White,Male,35,1
34,Private,9,Married-civ-spouse,Husband,White,Male,40,1
31,Private,9,Never-married,Not-in-family,White,Male,45,0
35,Private,10,Divorced,Unmarried,White,Female,39,0
44,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,45,1
35,Federal-gov,10,Never-married,Unmarried,Black,Female,40,0
27,Federal-gov,13,Never-married,Not-in-family,White,Female,35,0
21,Private,9,Never-married,Own-child,Black,Male,40,0
58,Private,9,Separated,Unmarried,White,Female,40,0
37,Private,16,Married-civ-spouse,Husband,White,Male,99,1
47,Private,15,Married-civ-spouse,Husband,White,Male,45,1
28,Federal-gov,10,Married-civ-spouse,Husband,White,Male,40,1
30,Private,10,Never-married,Own-child,Black,Female,40,0
61,Private,9,Married-civ-spouse,Husband,White,Male,40,0
34,Private,9,Never-married,Own-child,White,Male,40,0
62,Private,13,Married-civ-spouse,Husband,White,Male,55,1
38,Private,13,Divorced,Not-in-family,White,Male,55,1
37,Private,13,Married-civ-spouse,Husband,White,Male,99,1
53,Private,10,Married-civ-spouse,Husband,White,Male,45,1
36,Private,13,Married-civ-spouse,Husband,White,Male,50,1
57,Private,9,Married-civ-spouse,Husband,White,Male,40,1
34,Private,9,Married-spouse-absent,Unmarried,White,Female,65,0
39,State-gov,11,Never-married,Unmarried,White,Female,50,0
23,Private,10,Never-married,Own-child,Other,Female,40,0
24,State-gov,13,Never-married,Not-in-family,White,Female,65,0
61,Private,1,Married-spouse-absent,Not-in-family,Asian-Pac-Islander,Male,40,0
38,Private,10,Married-civ-spouse,Wife,White,Female,40,0
40,Self-emp-inc,13,Never-married,Own-child,White,Male,40,0
49,Private,10,Married-civ-spouse,Husband,White,Male,44,0
47,State-gov,9,Married-civ-spouse,Wife,White,Female,40,1
46,Private,13,Never-married,Unmarried,Asian-Pac-Islander,Female,40,0
55,Private,5,Married-civ-spouse,Husband,White,Male,40,0
48,Local-gov,12,Married-civ-spouse,Husband,White,Male,56,1
44,Private,10,Divorced,Not-in-family,White,Male,40,0
40,State-gov,11,Married-civ-spouse,Husband,White,Male,40,0
50,Private,13,Married-civ-spouse,Husband,White,Male,50,1
23,Private,9,Never-married,Own-child,White,Female,40,0
32,Private,11,Married-civ-spouse,Husband,White,Male,45,0
59,Private,9,Married-civ-spouse,Husband,White,Male,45,0
17,Private,8,Never-married,Own-child,White,Female,20,0
28,Private,14,Married-civ-spouse,Husband,White,Male,38,1
27,Federal-gov,13,Never-married,Not-in-family,Black,Male,48,0
38,Private,6,Married-civ-spouse,Husband,White,Male,40,1
42,Private,10,Divorced,Unmarried,White,Female,45,0
21,Private,10,Never-married,Not-in-family,Asian-Pac-Islander,Female,25,0
28,Private,9,Married-civ-spouse,Husband,White,Male,50,0
34,Private,12,Divorced,Not-in-family,Black,Male,40,0
19,Private,7,Never-married,Other-relative,White,Male,30,0
56,Private,9,Married-civ-spouse,Husband,White,Male,60,0
24,Private,10,Never-married,Not-in-family,White,Female,53,0
49,Local-gov,14,Divorced,Not-in-family,White,Female,40,0
36,Private,9,Married-civ-spouse,Husband,White,Male,50,0
59,Private,10,Married-civ-spouse,Husband,White,Male,40,1
26,Private,13,Never-married,Not-in-family,White,Male,40,0
26,Private,14,Married-civ-spouse,Husband,White,Male,40,1
31,Private,12,Divorced,Unmarried,White,Female,41,0
46,Private,7,Married-civ-spouse,Husband,Black,Male,40,1
24,Private,9,Married-civ-spouse,Husband,White,Male,40,0
17,Private,7,Never-married,Own-child,White,Female,5,0
58,State-gov,9,Divorced,Own-child,Black,Male,40,0
26,Local-gov,13,Never-married,Not-in-family,White,Female,40,0
53,Private,10,Married-civ-spouse,Husband,White,Male,40,0
57,Private,9,Divorced,Not-in-family,White,Male,40,0
34,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,60,1
49,Private,10,Married-civ-spouse,Husband,White,Male,40,1
33,Private,9,Separated,Not-in-family,White,Female,35,0
38,State-gov,14,Married-civ-spouse,Husband,White,Male,60,1
50,Private,7,Divorced,Not-in-family,Black,Female,40,0
47,Self-emp-not-inc,13,Divorced,Not-in-family,White,Male,50,0
48,Private,10,Never-married,Not-in-family,White,Female,43,0
29,Private,14,Never-married,Not-in-family,White,Female,45,0
44,Private,10,Divorced,Unmarried,White,Female,40,0
23,Private,13,Never-married,Own-child,White,Female,45,0
37,Private,10,Never-married,Not-in-family,White,Male,40,0
28,Private,7,Married-civ-spouse,Husband,White,Male,40,0
47,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,40,1
38,Private,13,Never-married,Own-child,White,Female,35,0
61,Federal-gov,10,Married-civ-spouse,Husband,White,Male,40,1
20,Private,9,Never-married,Not-in-family,White,Female,40,0
27,Private,7,Married-civ-spouse,Husband,White,Male,40,0
21,Private,10,Never-married,Own-child,White,Female,20,0
27,Private,13,Never-married,Own-child,White,Male,40,0
41,Private,10,Never-married,Not-in-family,White,Female,40,0
27,Private,10,Never-married,Not-in-family,White,Female,40,0
18,Private,8,Never-married,Own-child,White,Female,25,0
32,Private,10,Married-civ-spouse,Husband,Black,Male,16,0
44,Local-gov,13,Married-civ-spouse,Wife,Black,Female,40,1
32,Private,9,Married-civ-spouse,Husband,White,Male,40,0
52,Private,13,Married-civ-spouse,Husband,White,Male,50,1
40,Private,11,Married-civ-spouse,Husband,White,Male,40,0
31,Private,9,Separated,Not-in-family,White,Female,40,0
41,Private,9,Married-civ-spouse,Husband,White,Male,44,1
37,Private,13,Married-civ-spouse,Husband,White,Male,50,1
47,Federal-gov,13,Married-civ-spouse,Husband,White,Male,40,1
42,Federal-gov,14,Never-married,Not-in-family,White,Female,60,1
42,Private,8,Never-married,Own-child,White,Male,40,0
46,Private,12,Widowed,Unmarried,White,Female,27,0
42,Private,9,Divorced,Not-in-family,Black,Male,35,0
17,Private,6,Never-married,Own-child,White,Female,12,0
39,Federal-gov,10,Married-civ-spouse,Husband,Black,Male,40,0
74,Private,2,Widowed,Not-in-family,Black,Female,15,0
30,Private,10,Married-civ-spouse,Husband,White,Male,40,1
74,Federal-gov,9,Widowed,Not-in-family,White,Male,17,0
35,State-gov,13,Married-civ-spouse,Husband,White,Male,40,1
49,Self-emp-inc,10,Divorced,Unmarried,White,Female,32,0
28,Private,10,Separated,Not-in-family,Black,Male,40,0
55,Private,9,Married-civ-spouse,Husband,White,Male,40,1
29,Private,9,Married-civ-spouse,Husband,White,Male,40,0
33,Private,9,Never-married,Not-in-family,Black,Male,40,0
50,Private,10,Married-civ-spouse,Wife,White,Female,39,0
56,Private,7,Married-civ-spouse,Husband,White,Male,40,0
45,Private,14,Divorced,Not-in-family,White,Male,48,1
34,Private,13,Never-married,Not-in-family,White,Male,40,0
28,Self-emp-inc,9,Never-married,Own-child,White,Female,35,0
47,Self-emp-not-inc,16,Married-civ-spouse,Husband,White,Male,35,1
27,Private,4,Divorced,Unmarried,White,Male,40,0
44,State-gov,9,Divorced,Not-in-family,White,Female,40,0
27,Private,13,Never-married,Not-in-family,White,Female,45,0
35,Private,13,Never-married,Own-child,Black,Female,40,0
49,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,40,1
53,Local-gov,3,Married-civ-spouse,Husband,White,Male,40,0
42,Self-emp-not-inc,10,Married-civ-spouse,Husband,White,Male,40,1
44,Private,6,Married-civ-spouse,Husband,White,Male,40,0
29,State-gov,14,Married-civ-spouse,Husband,White,Male,36,0
30,State-gov,13,Married-civ-spouse,Husband,White,Male,72,1
17,Private,6,Never-married,Own-child,White,Male,20,0
38,Private,9,Married-civ-spouse,Husband,White,Male,40,0
33,Private,10,Married-civ-spouse,Husband,White,Male,40,0
51,Private,9,Married-civ-spouse,Husband,Black,Male,40,0
43,Private,10,Married-civ-spouse,Husband,White,Male,50,1
30,Private,9,Married-civ-spouse,Husband,White,Male,40,1
27,Private,13,Never-married,Not-in-family,White,Female,36,0
65,Private,13,Married-civ-spouse,Husband,White,Male,40,1
58,Self-emp-not-inc,14,Widowed,Not-in-family,White,Female,15,0
41,Private,9,Married-civ-spouse,Husband,White,Male,40,0
43,Federal-gov,10,Married-civ-spouse,Wife,White,Female,40,0
55,Private,13,Married-civ-spouse,Husband,White,Male,40,0
54,Private,9,Married-civ-spouse,Husband,White,Male,70,0
23,Private,10,Never-married,Unmarried,White,Female,25,0
35,Private,10,Married-civ-spouse,Husband,White,Male,60,0
46,Local-gov,13,Married-civ-spouse,Wife,White,Female,70,0
45,Private,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,0
42,Private,4,Never-married,Not-in-family,Black,Male,40,0
37,Private,14,Married-civ-spouse,Husband,White,Male,60,1
24,Private,11,Never-married,Not-in-family,White,Male,40,0
44,Private,13,Married-civ-spouse,Husband,White,Male,40,1
