Shift,Equipment,Weather,Operator_Experience,Maintenance_Hours,Accident
Day,Conveyor,Fog,Experienced,9,0
Night,Drill,Heatwave,Intermediate,8,0
Day,Drill,Clear,Intermediate,9,0
Night,Crusher,Fog,Novice,7,0
Day,Crusher,Clear,Intermediate,9,0
Night,Truck,Heatwave,Intermediate,8,0
Night,Drill,Rain,Intermediate,9,0
Night,Truck,Fog,Experienced,7,0
Night,Crusher,Clear,Experienced,7,0
Day,Crusher,Clear,Intermediate,0,0
Night,Conveyor,Fog,Novice,9,0
Day,Drill,Rain,Experienced,4,0
Day,Truck,Rain,Novice,3,0
Day,Crusher,Rain,Intermediate,1,0
Day,Crusher,Heatwave,Intermediate,7,0
Night,Truck,Clear,Experienced,2,0
Day,Conveyor,Clear,Intermediate,3,0
Day,Crusher,Clear,Experienced,6,0
Day,Drill,Heatwave,Intermediate,9,0
Night,Crusher,Clear,Intermediate,8,0
Night,Drill,Heatwave,Experienced,1,0
Night,Truck,Rain,Experienced,2,0
Night,Drill,Fog,Experienced,3,1
Day,Truck,Clear,Intermediate,9,0
Day,Drill,Clear,Intermediate,0,1
Night,Truck,Rain,Novice,6,0
Day,Drill,Fog,Experienced,1,0
Day,Conveyor,Heatwave,Intermediate,4,0
Day,Drill,Fog,Intermediate,0,0
Night,Drill,Rain,Experienced,2,1
Night,Conveyor,Rain,Novice,1,0
Day,Crusher,Fog,Experienced,0,0
Night,Crusher,Heatwave,Novice,6,0
Night,Drill,Heatwave,Intermediate,4,0
Night,Conveyor,Clear,Novice,0,0
Night,Drill,Heatwave,Intermediate,5,1
Night,Truck,Fog,Experienced,4,0
Day,Truck,Rain,Experienced,2,0
Night,Drill,Clear,Experienced,6,0
Day,Crusher,Clear,Novice,9,0
Day,Crusher,Rain,Intermediate,8,0
Night,Drill,Heatwave,Experienced,8,0
Day,Drill,Rain,Experienced,8,0
Day,Truck,Heatwave,Intermediate,1,0
Day,Crusher,Rain,Experienced,2,0
Night,Drill,Fog,Intermediate,6,0
Night,Truck,Heatwave,Intermediate,4,0
Day,Crusher,Fog,Intermediate,1,0
Night,Conveyor,Clear,Intermediate,2,0
Night,Truck,Rain,Intermediate,9,0
Night,Crusher,Clear,Novice,5,0
Night,Crusher,Clear,Experienced,6,0
Day,Truck,Clear,Novice,8,0
Day,Conveyor,Clear,Experienced,0,0
Night,Truck,Rain,Novice,6,0
Night,Crusher,Clear,Intermediate,7,1
Day,Drill,Rain,Experienced,2,0
Day,Drill,Rain,Experienced,3,0
Night,Truck,Fog,Novice,9,0
Day,Crusher,Heatwave,Novice,5,0
Night,Drill,Heatwave,Experienced,9,0
Night,Crusher,Rain,Novice,6,0
Day,Truck,Fog,Novice,3,0
Day,Drill,Rain,Novice,7,0
Night,Crusher,Rain,Intermediate,4,0
Night,Drill,Rain,Intermediate,0,0
Day,Truck,Fog,Novice,3,0
Night,Crusher,Heatwave,Novice,2,0
Day,Drill,Fog,Intermediate,8,0
Night,Truck,Clear,Intermediate,7,0
Day,Drill,Fog,Experienced,0,0
Day,Drill,Fog,Experienced,5,0
Day,Conveyor,Fog,Intermediate,8,0
Night,Conveyor,Fog,Novice,6,0
Night,Truck,Heatwave,Novice,3,0
Day,Conveyor,Clear,Novice,0,1
Night,Truck,Heatwave,Novice,1,1
Day,Conveyor,Heatwave,Experienced,4,0
Day,Drill,Fog,Intermediate,4,0
Night,Truck,Rain,Novice,7,0
Night,Truck,Rain,Experienced,5,1
Day,Drill,Heatwave,Novice,7,0
Night,Truck,Heatwave,Intermediate,1,0
Night,Truck,Fog,Experienced,2,0
Day,Conveyor,Heatwave,Intermediate,5,0
Day,Truck,Fog,Intermediate,9,1
Night,Crusher,Rain,Experienced,2,0
Day,Drill,Rain,Experienced,5,0
Day,Conveyor,Clear,Experienced,5,0
Night,Conveyor,Rain,Experienced,1,0
Day,Crusher,Heatwave,Experienced,6,0
Day,Drill,Rain,Experienced,1,0
Night,Drill,Fog,Experienced,5,0
Night,Conveyor,Rain,Novice,0,1
Day,Truck,Clear,Intermediate,2,0
Day,Conveyor,Rain,Experienced,1,0
Night,Drill,Fog,Novice,6,0
Night,Crusher,Fog,Novice,3,1
Night,Conveyor,Heatwave,Novice,7,0
Night,Drill,Rain,Intermediate,5,0
Day,Conveyor,Fog,Experienced,9,0
Night,Truck,Clear,Novice,3,0
Night,Conveyor,Heatwave,Intermediate,4,1
Day,Conveyor,Clear,Intermediate,8,0
Night,Drill,Rain,Intermediate,6,0
Day,Drill,Rain,Novice,9,0
Night,Drill,Rain,Experienced,8,0
Night,Conveyor,Heatwave,Novice,6,0
Night,Truck,Fog,Novice,0,1
Day,Crusher,Heatwave,Experienced,7,0
Day,Crusher,Clear,Experienced,3,0
Night,Drill,Heatwave,Experienced,2,1
Day,Drill,Clear,Intermediate,6,0
Day,Conveyor,Heatwave,Experienced,2,0
Day,Crusher,Fog,Novice,7,0
Day,Drill,Clear,Experienced,5,0
Day,Truck,Rain,Novice,4,0
Day,Truck,Rain,Intermediate,3,0
Night,Drill,Heatwave,Novice,7,0
Night,Drill,Rain,Novice,7,0
Day,Crusher,Clear,Experienced,0,0
Night,Crusher,Rain,Experienced,8,1
Night,Conveyor,Fog,Novice,4,1
Night,Crusher,Fog,Experienced,3,0
Night,Truck,Heatwave,Intermediate,5,1
Day,Truck,Clear,Intermediate,5,0
Night,Drill,Fog,Experienced,1,1
Night,Crusher,Fog,Intermediate,7,0
Day,Conveyor,Clear,Experienced,6,0
Day,Truck,Rain,Novice,0,0
Night,Truck,Rain,Novice,4,1
Night,Conveyor,Heatwave,Intermediate,5,0
Night,Conveyor,Rain,Experienced,3,0
Night,Truck,Clear,Experienced,1,0
Night,Truck,Fog,Intermediate,3,0
Night,Conveyor,Rain,Novice,0,0
Day,Truck,Heatwave,Intermediate,6,0
Night,Drill,Rain,Novice,1,1
Night,Drill,Clear,Experienced,1,0
Day,Conveyor,Heatwave,Novice,8,0
Day,Crusher,Rain,Intermediate,4,0
Day,Conveyor,Heatwave,Experienced,1,0
Day,Conveyor,Clear,Intermediate,8,0
Night,Crusher,Fog,Intermediate,8,0
Night,Crusher,Clear,Novice,0,0
Night,Crusher,Clear,Intermediate,2,0
Night,Drill,Clear,Novice,3,0
Night,Truck,Clear,Experienced,6,0
Night,Drill,Fog,Novice,9,0
Day,Truck,Fog,Experienced,3,0
Night,Drill,Heatwave,Novice,1,0
Day,Truck,Rain,Intermediate,6,0
Day,Drill,Fog,Novice,5,0
Night,Crusher,Fog,Novice,2,0
Day,Conveyor,Rain,Experienced,5,0
Night,Drill,Fog,Intermediate,5,0
Day,Truck,Clear,Novice,4,0
Night,Crusher,Clear,Intermediate,3,0
Day,Drill,Rain,Novice,9,0
Night,Drill,Heatwave,Novice,0,0
Night,Crusher,Heatwave,Intermediate,9,0
Night,Drill,Rain,Novice,5,0
Night,Conveyor,Rain,Intermediate,1,0
Night,Drill,Clear,Novice,2,0
Day,Conveyor,Heatwave,Experienced,7,0
Day,Conveyor,Fog,Intermediate,9,0
Day,Crusher,Clear,Novice,5,0
Night,Drill,Rain,Novice,2,1
Day,Crusher,Heatwave,Experienced,6,0
Night,Drill,Fog,Intermediate,3,0
Night,Drill,Fog,Novice,8,0
Day,Truck,Clear,Experienced,4,0
Day,Drill,Heatwave,Novice,2,0
Night,Crusher,Heatwave,Intermediate,1,0
Day,Conveyor,Rain,Novice,1,0
Night,Drill,Heatwave,Novice,2,1
Night,Truck,Heatwave,Novice,1,0
Night,Crusher,Clear,Novice,3,1
Night,Drill,Heatwave,Experienced,1,0
Night,Crusher,Fog,Experienced,9,0
Day,Truck,Clear,Intermediate,8,0
Day,Truck,Clear,Experienced,1,0
Night,Crusher,Rain,Experienced,8,0
Night,Drill,Heatwave,Intermediate,5,0
Day,Conveyor,Rain,Experienced,0,0
Day,Truck,Fog,Experienced,3,0
Night,Drill,Clear,Intermediate,0,0
Day,Drill,Clear,Intermediate,5,0
Night,Conveyor,Clear,Intermediate,3,0
Day,Truck,Fog,Novice,2,0
Night,Truck,Fog,Novice,2,1
Day,Drill,Rain,Intermediate,8,0
Night,Drill,Rain,Intermediate,5,0
Day,Conveyor,Rain,Intermediate,8,1
Day,Conveyor,Heatwave,Novice,4,0
Night,Truck,Clear,Novice,1,0
Day,Crusher,Clear,Experienced,7,0
Night,Truck,Rain,Experienced,4,0
Day,Drill,Clear,Intermediate,1,0
Night,Truck,Rain,Novice,3,1
Day,Crusher,Heatwave,Novice,8,0
Night,Conveyor,Heatwave,Novice,3,0
Day,Crusher,Fog,Intermediate,3,1
Night,Crusher,Heatwave,Experienced,1,0
Day,Crusher,Rain,Intermediate,5,0
Night,Conveyor,Heatwave,Experienced,1,0
Night,Crusher,Fog,Experienced,6,0
Night,Crusher,Clear,Intermediate,2,1
Day,Crusher,Rain,Experienced,2,0
Night,Drill,Clear,Experienced,4,0
Day,Crusher,Fog,Novice,2,0
Night,Conveyor,Fog,Experienced,1,1
Day,Crusher,Fog,Intermediate,9,0
Night,Crusher,Clear,Intermediate,8,0
Day,Conveyor,Clear,Experienced,1,0
Day,Crusher,Clear,Novice,1,1
Night,Conveyor,Clear,Novice,7,0
Day,Crusher,Fog,Experienced,8,0
Day,Conveyor,Fog,Experienced,6,0
Night,Crusher,Rain,Intermediate,2,0
Day,Crusher,Rain,Experienced,8,0
Day,Drill,Clear,Novice,2,0
Day,Drill,Heatwave,Experienced,4,0
Night,Crusher,Heatwave,Intermediate,8,0
Day,Crusher,Fog,Intermediate,2,0
Night,Truck,Fog,Intermediate,6,0
